## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../results/2011_align/S2.masked.bam] OUTPUT=../results/2011_align/S2.dedup.masked.bam METRICS_FILE=metrics.txt VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 18 15:26:19 EDT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4416706	19556613	1406402	14504448	1129816	2133826	140053	0.123994	87955599

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006441	15548678	0	15663025
2.0	1.812236	1663545	137320	1571149
3.0	2.457386	178527	1338	159573
4.0	2.973918	22970	19	20432
5.0	3.387472	5278	0	4957
6.0	3.71858	1955	0	1892
7.0	3.983677	946	0	901
8.0	4.195924	402	0	390
9.0	4.365857	212	0	200
10.0	4.501912	81	0	83
11.0	4.610843	75	0	72
12.0	4.698057	28	0	27
13.0	4.767884	22	0	22
14.0	4.82379	18	0	17
15.0	4.86855	9	0	6
16.0	4.904387	9	0	10
17.0	4.933079	1	0	0
18.0	4.956052	1	0	3
19.0	4.974444	8	0	6
20.0	4.98917	0	0	0
21.0	5.00096	4	0	5
22.0	5.010399	5	0	4
23.0	5.017957	4	0	4
24.0	5.024008	2	0	2
25.0	5.028852	2	0	3
26.0	5.032731	0	0	0
27.0	5.035837	0	0	0
28.0	5.038323	1	0	1
29.0	5.040314	2	0	1
30.0	5.041907	0	0	0
31.0	5.043184	0	0	0
32.0	5.044205	0	0	0
33.0	5.045023	1	0	1
34.0	5.045678	0	0	0
35.0	5.046202	0	0	0
36.0	5.046622	0	0	0
37.0	5.046958	0	0	0
38.0	5.047227	0	0	0
39.0	5.047443	0	0	0
40.0	5.047615	1	0	1
41.0	5.047754	0	0	0
42.0	5.047864	0	0	0
43.0	5.047953	0	0	0
44.0	5.048024	0	0	0
45.0	5.04808	0	0	0
46.0	5.048126	0	0	0
47.0	5.048162	0	0	0
48.0	5.048191	0	0	0
49.0	5.048215	0	0	0
50.0	5.048233	0	0	0
51.0	5.048248	0	0	0
52.0	5.04826	0	0	0
53.0	5.04827	0	0	0
54.0	5.048277	0	0	0
55.0	5.048284	0	0	0
56.0	5.048288	0	0	0
57.0	5.048292	0	0	0
58.0	5.048296	0	0	0
59.0	5.048298	0	0	0
60.0	5.0483	0	0	0
61.0	5.048302	0	0	0
62.0	5.048303	0	0	0
63.0	5.048304	0	0	0
64.0	5.048305	0	0	0
65.0	5.048306	0	0	0
66.0	5.048306	0	0	0
67.0	5.048307	0	0	0
68.0	5.048307	0	0	0
69.0	5.048307	0	0	0
70.0	5.048307	0	0	0
71.0	5.048308	0	0	0
72.0	5.048308	0	0	0
73.0	5.048308	0	0	0
74.0	5.048308	0	0	0
75.0	5.048308	0	0	0
76.0	5.048308	0	0	0
77.0	5.048308	0	0	0
78.0	5.048308	0	0	0
79.0	5.048308	0	0	0
80.0	5.048308	0	0	0
81.0	5.048308	0	0	0
82.0	5.048308	0	0	0
83.0	5.048308	0	0	0
84.0	5.048308	0	0	0
85.0	5.048308	0	0	0
86.0	5.048308	0	0	0
87.0	5.048308	0	0	0
88.0	5.048308	0	0	0
89.0	5.048308	0	0	0
90.0	5.048308	0	0	0
91.0	5.048308	0	0	0
92.0	5.048308	0	0	0
93.0	5.048308	0	0	0
94.0	5.048308	0	0	0
95.0	5.048308	0	0	0
96.0	5.048308	0	0	0
97.0	5.048308	0	0	0
98.0	5.048308	0	0	0
99.0	5.048308	0	0	0
100.0	5.048308	0	0	0

