Busco_id	Status	Sequence	Gene_Start	Gene_End	Strand	Score	Length
5951at33208	Complete	ptg000012l	2552979	2534375	-	4048.0	1946
9639at33208	Complete	ptg000044l	7158942	7137016	-	2273.4	1764
13816at33208	Complete	ptg000005l	7683326	7710579	+	2053.2	1496
14776at33208	Complete	ptg000010l	11047523	11072155	+	2189.8	1760
16244at33208	Complete	ptg000011l	2676272	2696780	+	2732.9	1723
40200at33208	Complete	ptg000001l	3002016	3004736	+	722.7	550
45934at33208	Complete	ptg000014l	3909669	3914511	+	793.7	852
49474at33208	Complete	ptg000017l	1191351	1210944	+	1326.2	1227
50756at33208	Complete	ptg000005l	8940568	8948325	+	1354.4	1076
56573at33208	Complete	ptg000005l	8720855	8712241	-	1340.7	918
57158at33208	Complete	ptg000009l	10819128	10828060	+	1940.8	1054
63697at33208	Complete	ptg000010l	5442082	5452254	+	1980.8	988
64435at33208	Complete	ptg000012l	3928384	3918914	-	325.0	461
65302at33208	Complete	ptg000013l	9140936	9155101	+	1452.1	975
66018at33208	Complete	ptg000011l	5929003	5983011	+	1549.1	867
75406at33208	Complete	ptg000010l	2068446	2075614	+	655.8	617
76852at33208	Complete	ptg000004l	6051688	6070146	+	779.0	777
84980at33208	Complete	ptg000001l	10256269	10259629	+	931.0	592
88053at33208	Complete	ptg000005l	8727120	8734683	+	543.5	595
92367at33208	Complete	ptg000012l	5056006	5062411	+	268.5	471
99614at33208	Complete	ptg000009l	8772918	8779587	+	1089.4	946
99987at33208	Complete	ptg000019l	7681129	7689238	+	724.7	731
102804at33208	Complete	ptg000010l	9013897	9005273	-	1435.7	903
103854at33208	Complete	ptg000019l	10653185	10671252	+	667.9	639
107151at33208	Complete	ptg000017l	6736191	6744183	+	1288.5	742
107574at33208	Complete	ptg000015l	5944680	5953811	+	737.8	715
108764at33208	Complete	ptg000004l	8698625	8709641	+	434.5	503
109109at33208	Complete	ptg000009l	8805506	8795697	-	1079.7	601
111730at33208	Complete	ptg000003l	9183924	9173376	-	575.9	579
111746at33208	Complete	ptg000019l	5956365	5954008	-	674.1	653
114954at33208	Complete	ptg000003l	8764481	8770129	+	690.4	447
115878at33208	Complete	ptg000005l	8183318	8178173	-	546.3	361
118209at33208	Complete	ptg000006l	7390707	7400604	+	1626.7	873
119252at33208	Complete	ptg000005l	1331176	1333215	+	912.9	551
119591at33208	Complete	ptg000013l	9301907	9321661	+	1136.6	997
121127at33208	Complete	ptg000007l	7388722	7394477	+	579.1	620
123923at33208	Complete	ptg000019l	6862519	6869501	+	379.6	562
124302at33208	Complete	ptg000044l	9328852	9332163	+	923.3	829
127766at33208	Complete	ptg000017l	858080	866216	+	831.3	642
129179at33208	Complete	ptg000011l	8622196	8612152	-	818.4	563
130245at33208	Complete	ptg000002l	976155	962566	-	678.2	407
130256at33208	Complete	ptg000020l	16517084	16521081	+	741.1	569
131349at33208	Complete	ptg000008l	2795315	2786240	-	1481.2	943
131848at33208	Complete	ptg000010l	5467743	5480843	+	504.6	516
132087at33208	Complete	ptg000001l	10055032	10045743	-	736.6	723
134492at33208	Complete	ptg000010l	8344111	8353038	+	1398.3	903
135294at33208	Complete	ptg000008l	8365832	8353744	-	752.0	630
137383at33208	Complete	ptg000008l	7209085	7195284	-	496.6	607
139188at33208	Complete	ptg000003l	498974	489742	-	388.1	581
143619at33208	Complete	ptg000004l	4668881	4677983	+	329.8	293
143997at33208	Complete	ptg000003l	8082594	8094312	+	477.4	358
146671at33208	Complete	ptg000011l	1008676	998354	-	966.2	777
147873at33208	Complete	ptg000001l	7138975	7141749	+	942.5	567
148067at33208	Complete	ptg000021l	880713	888843	+	728.8	845
148325at33208	Complete	ptg000009l	13066661	13061144	-	390.6	321
152327at33208	Missing
152977at33208	Complete	ptg000009l	2845345	2856809	+	558.7	511
153034at33208	Complete	ptg000044l	8495561	8489683	-	707.7	467
157109at33208	Complete	ptg000019l	7734593	7749451	+	242.9	224
157138at33208	Complete	ptg000011l	4822794	4814915	-	602.1	523
158845at33208	Complete	ptg000007l	4412102	4410060	-	446.2	480
158962at33208	Complete	ptg000014l	13572024	13577412	+	771.0	542
162821at33208	Complete	ptg000008l	12363675	12353698	-	598.1	452
164767at33208	Complete	ptg000018l	5683505	5678128	-	965.4	700
166097at33208	Complete	ptg000016l	10310088	10306020	-	771.4	485
168850at33208	Fragmented	ptg000014l	5773848	5778028	+	346.5	277
168924at33208	Complete	ptg000018l	9309615	9319576	+	392.1	483
169864at33208	Complete	ptg000015l	8143825	8132139	-	447.6	640
172677at33208	Complete	ptg000010l	4693324	4698392	+	199.8	222
176247at33208	Complete	ptg000008l	12286149	12279308	-	341.3	335
177718at33208	Complete	ptg000012l	10985681	10983111	-	608.8	393
177858at33208	Complete	ptg000007l	4070846	4063798	-	965.2	609
178537at33208	Complete	ptg000005l	2385303	2391733	+	966.5	465
179485at33208	Complete	ptg000015l	8544015	8530213	-	670.8	604
180808at33208	Complete	ptg000020l	5608282	5619571	+	766.2	476
182834at33208	Complete	ptg000011l	4567153	4569480	+	730.5	542
184508at33208	Complete	ptg000004l	6226142	6238776	+	636.8	485
184717at33208	Complete	ptg000015l	4855646	4848322	-	960.8	533
186208at33208	Complete	ptg000020l	4701560	4692805	-	866.5	670
186707at33208	Complete	ptg000008l	10750480	10743628	-	390.1	486
187280at33208	Complete	ptg000044l	4157747	4147404	-	690.6	528
189414at33208	Complete	ptg000017l	8856352	8862776	+	620.2	651
190726at33208	Complete	ptg000019l	7781925	7777327	-	621.8	395
191938at33208	Complete	ptg000009l	5082890	5075682	-	355.0	431
192250at33208	Complete	ptg000006l	1287513	1295762	+	436.8	291
194754at33208	Complete	ptg000014l	4006693	3991594	-	1165.7	773
