# BUSCO version is: 5.4.7 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
Busco_id	Status	Sequence	Gene_Start	Gene_End	Strand	Score	Length	OrthoDB_url	Description
0at7088	Complete	Hmel218003o	12520990	12422222	-	17095.5	8973	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	Hmel221001o	12478905	12569677	+	9415.5	6010	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	Hmel220003o	5195580	5290306	+	24823.9	15898	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	Hmel219001o	7749333	7865176	+	10650.0	7127	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	Hmel212001o	1635741	1521468	-	13654.6	7685	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	Hmel219001o	11926774	12009120	+	8369.3	4385	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	Hmel214004o	6097704	6031244	-	7997.9	4148	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	Hmel210001o	8732678	8762529	+	8249.3	3957	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	Hmel214004o	3343893	3314446	-	7748.0	4525	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	Hmel206001o	5885419	5906499	+	7058.3	3246	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	Hmel201001o	9974095	9986637	+	7199.8	3496	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	Hmel201001o	9340023	9370326	+	6273.0	3192	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	Hmel221001o	8341400	8381116	+	7063.9	3560	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	Hmel201001o	8508240	8483224	-	4819.0	2843	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	Hmel218003o	14249734	14216662	-	6737.6	3908	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	Hmel201001o	13492555	13465685	-	6065.8	3081	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	Hmel201001o	6577776	6547446	-	6872.7	3475	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	Hmel209001o	3925690	3907727	-	6713.8	3785	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	Hmel221001o	1451244	1496331	+	5984.3	3179	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	Hmel218003o	16002202	15969334	-	4133.1	2701	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	Hmel219001o	11286308	11256884	-	6000.7	3027	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	Hmel206001o	8013908	8049684	+	7534.8	4070	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	Hmel219001o	14266121	14237306	-	5037.0	2437	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
47at7088	Complete	Hmel211001o	2017461	1976198	-	4948.4	2890	https://v10-1.orthodb.org/?query=47at7088	FERM, C-terminal PH-like domain
48at7088	Complete	Hmel204001o	6226301	6184647	-	4913.3	2477	https://v10-1.orthodb.org/?query=48at7088	WD40 repeat
49at7088	Complete	Hmel220003o	1406793	1453865	+	4380.2	3056	https://v10-1.orthodb.org/?query=49at7088	Uncharacterised domain, cysteine-rich
50at7088	Complete	Hmel217001o	5405051	5362803	-	5133.9	2347	https://v10-1.orthodb.org/?query=50at7088	Tox-GHH domain
51at7088	Complete	Hmel219001o	7389396	7414862	+	4268.8	2385	https://v10-1.orthodb.org/?query=51at7088	Cadherin-like
52at7088	Complete	Hmel203003o	5531550	5566208	+	5557.5	2838	https://v10-1.orthodb.org/?query=52at7088	Cation channel complex component UNC80, N-terminal
