# BUSCO version is: 5.4.7 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
Busco_id	Status	Sequence	Gene_Start	Gene_End	Strand	Score	Length	OrthoDB_url	Description
0at7088	Complete	ptg000006l	12975722	12881475	-	17020.0	9122	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	ptg000013l	955382	860306	-	9458.3	5859	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	ptg000010l	5544686	5636082	+	24816.6	15958	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	ptg000014l	9046035	8932873	-	10646.0	7111	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	ptg000012l	15147233	15263462	+	13476.9	7672	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	ptg000014l	4684835	4601222	-	8380.1	4385	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Complete	ptg000041l	3039751	3103795	+	8121.2	4139	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	ptg000004l	9279339	9252431	-	8237.2	3957	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	ptg000041l	5914992	5948964	+	7936.6	4589	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	ptg000016l	8363135	8341521	-	6880.2	3200	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	ptg000003l	7335821	7323289	-	7201.4	3496	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	ptg000003l	7974530	7938155	-	6916.9	3477	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	ptg000013l	5367905	5327382	-	7090.0	3559	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	ptg000003l	8823612	8849304	+	4796.4	2844	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	ptg000006l	14707886	14674811	-	6737.6	3908	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	ptg000003l	3809404	3841123	+	6224.1	3137	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	ptg000003l	10731434	10760432	+	6871.9	3422	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	ptg000015l	4069993	4052262	-	6719.7	3783	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	ptg000013l	12631211	12589102	-	5970.1	3144	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	ptg000006l	16465950	16432522	-	3986.1	2705	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	ptg000014l	5361772	5393277	+	5986.3	3019	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	ptg000016l	6148739	6112901	-	7533.2	4070	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	ptg000014l	2300693	2330233	+	5074.6	2531	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
47at7088	Complete	ptg000005l	9981350	10022773	+	4945.1	2890	https://v10-1.orthodb.org/?query=47at7088	FERM, C-terminal PH-like domain
48at7088	Complete	ptg000002l	6715727	6678240	-	5034.4	2548	https://v10-1.orthodb.org/?query=48at7088	WD40 repeat
49at7088	Complete	ptg000010l	1653235	1702130	+	4374.5	3079	https://v10-1.orthodb.org/?query=49at7088	Uncharacterised domain, cysteine-rich
50at7088	Complete	ptg000008l	5557253	5516753	-	4888.6	2277	https://v10-1.orthodb.org/?query=50at7088	Tox-GHH domain
51at7088	Complete	ptg000014l	9399477	9374228	-	4298.2	2447	https://v10-1.orthodb.org/?query=51at7088	Cadherin-like
52at7088	Complete	ptg000018l	5060452	5023903	-	5556.4	2838	https://v10-1.orthodb.org/?query=52at7088	Cation channel complex component UNC80, N-terminal
54at7088	Complete	ptg000008l	1082887	1098833	+	5181.1	2402	https://v10-1.orthodb.org/?query=54at7088	Tox-GHH domain
56at7088	Complete	ptg000016l	9463937	9420583	-	5080.4	2731	https://v10-1.orthodb.org/?query=56at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
57at7088	Complete	ptg000003l	6119674	6098591	-	4296.3	2219	https://v10-1.orthodb.org/?query=57at7088	EGF-like calcium-binding domain
59at7088	Complete	ptg000041l	5221922	5253429	+	4753.4	3681	https://v10-1.orthodb.org/?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	ptg000008l	11491523	11514125	+	5877.8	3442	https://v10-1.orthodb.org/?query=60at7088	Cadherin-like
63at7088	Complete	ptg000006l	756783	797816	+	4710.4	2815	https://v10-1.orthodb.org/?query=63at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
64at7088	Complete	ptg000010l	5900706	5884848	-	4048.0	1989	https://v10-1.orthodb.org/?query=64at7088	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
