#plotCoverage --outRawCounts
#'chr'	'start'	'end'	'S1.dedup.bam'	'S2.dedup.bam'	'S3.dedup.bam'	'S4.dedup.bam'
ptg000026l	1	2	0.0	0.0	1.0	1.0
ptg000026l	101	102	39.0	37.0	33.0	39.0
ptg000026l	201	202	40.0	42.0	50.0	33.0
ptg000026l	301	302	32.0	28.0	38.0	28.0
ptg000026l	401	402	72.0	63.0	62.0	54.0
ptg000026l	501	502	64.0	52.0	50.0	65.0
ptg000026l	601	602	26.0	25.0	34.0	25.0
ptg000026l	701	702	50.0	30.0	27.0	24.0
ptg000026l	801	802	39.0	24.0	35.0	28.0
ptg000026l	901	902	24.0	19.0	31.0	18.0
ptg000026l	1001	1002	16.0	19.0	19.0	8.0
ptg000026l	1101	1102	29.0	26.0	42.0	21.0
ptg000026l	1201	1202	22.0	25.0	17.0	14.0
ptg000026l	1301	1302	13.0	15.0	17.0	15.0
ptg000026l	1401	1402	88.0	84.0	85.0	65.0
ptg000026l	1501	1502	45.0	51.0	40.0	34.0
ptg000026l	1601	1602	0.0	2.0	2.0	1.0
ptg000026l	1701	1702	1.0	3.0	1.0	0.0
ptg000026l	1801	1802	32.0	39.0	40.0	27.0
ptg000026l	1901	1902	73.0	62.0	75.0	59.0
ptg000026l	2001	2002	99.0	76.0	102.0	68.0
ptg000026l	2101	2102	69.0	100.0	68.0	83.0
ptg000026l	2201	2202	71.0	97.0	76.0	57.0
ptg000026l	2301	2302	37.0	29.0	29.0	17.0
ptg000026l	2401	2402	45.0	33.0	42.0	27.0
ptg000026l	2501	2502	63.0	52.0	69.0	58.0
ptg000026l	2601	2602	47.0	27.0	53.0	30.0
ptg000026l	2701	2702	35.0	12.0	40.0	8.0
ptg000026l	2801	2802	17.0	14.0	20.0	11.0
ptg000026l	2901	2902	9.0	3.0	8.0	4.0
ptg000026l	3001	3002	24.0	18.0	19.0	16.0
ptg000026l	3101	3102	5.0	12.0	5.0	2.0
ptg000026l	3201	3202	3.0	4.0	1.0	0.0
ptg000026l	3301	3302	10.0	10.0	7.0	7.0
ptg000026l	3401	3402	7.0	16.0	10.0	7.0
ptg000026l	3501	3502	8.0	7.0	7.0	5.0
ptg000026l	3601	3602	2.0	3.0	2.0	3.0
ptg000026l	3701	3702	15.0	22.0	23.0	14.0
ptg000026l	3801	3802	22.0	26.0	32.0	23.0
ptg000026l	3901	3902	17.0	17.0	18.0	11.0
ptg000026l	4001	4002	15.0	20.0	20.0	13.0
ptg000026l	4101	4102	16.0	12.0	13.0	16.0
ptg000026l	4201	4202	16.0	4.0	12.0	8.0
ptg000026l	4301	4302	2.0	1.0	5.0	3.0
ptg000026l	4401	4402	6.0	3.0	9.0	4.0
ptg000026l	4501	4502	4.0	5.0	6.0	9.0
ptg000026l	4601	4602	3.0	7.0	5.0	13.0
ptg000026l	4701	4702	5.0	3.0	1.0	5.0
ptg000026l	4801	4802	2.0	2.0	0.0	5.0
ptg000026l	4901	4902	7.0	14.0	13.0	19.0
ptg000026l	5001	5002	6.0	15.0	13.0	16.0
ptg000026l	5101	5102	1.0	4.0	8.0	6.0
ptg000026l	5201	5202	11.0	7.0	9.0	10.0
ptg000026l	5301	5302	8.0	6.0	3.0	8.0
ptg000026l	5401	5402	8.0	5.0	4.0	7.0
ptg000026l	5501	5502	9.0	14.0	22.0	11.0
ptg000026l	5601	5602	24.0	22.0	21.0	20.0
ptg000026l	5701	5702	23.0	21.0	16.0	20.0
ptg000026l	5801	5802	11.0	19.0	12.0	16.0
ptg000026l	5901	5902	11.0	10.0	6.0	9.0
ptg000026l	6001	6002	8.0	13.0	4.0	6.0
ptg000026l	6101	6102	2.0	1.0	1.0	0.0
ptg000026l	6201	6202	2.0	2.0	1.0	2.0
ptg000026l	6301	6302	5.0	5.0	7.0	11.0
ptg000026l	6401	6402	3.0	5.0	2.0	5.0
ptg000026l	6501	6502	20.0	16.0	8.0	18.0
ptg000026l	6601	6602	21.0	12.0	14.0	10.0
ptg000026l	6701	6702	9.0	18.0	10.0	18.0
ptg000026l	6801	6802	13.0	17.0	8.0	14.0
ptg000026l	6901	6902	3.0	3.0	2.0	4.0
ptg000026l	7001	7002	9.0	11.0	9.0	12.0
ptg000026l	7101	7102	0.0	0.0	0.0	0.0
ptg000026l	7201	7202	11.0	9.0	3.0	3.0
ptg000026l	7301	7302	28.0	30.0	24.0	12.0
ptg000026l	7401	7402	17.0	23.0	14.0	12.0
ptg000026l	7501	7502	8.0	10.0	6.0	6.0
ptg000026l	7601	7602	15.0	12.0	8.0	8.0
ptg000026l	7701	7702	9.0	6.0	5.0	7.0
ptg000026l	7801	7802	0.0	1.0	2.0	0.0
ptg000026l	7901	7902	18.0	11.0	11.0	15.0
ptg000026l	8001	8002	15.0	9.0	12.0	13.0
ptg000026l	8101	8102	18.0	22.0	25.0	17.0
ptg000026l	8201	8202	1.0	4.0	2.0	0.0
ptg000026l	8301	8302	23.0	18.0	18.0	19.0
ptg000026l	8401	8402	38.0	41.0	57.0	49.0
ptg000026l	8501	8502	36.0	34.0	32.0	26.0
ptg000026l	8601	8602	34.0	23.0	20.0	29.0
ptg000026l	8701	8702	13.0	20.0	12.0	18.0
ptg000026l	8801	8802	11.0	3.0	5.0	6.0
ptg000026l	8901	8902	8.0	6.0	4.0	6.0
ptg000026l	9001	9002	4.0	4.0	10.0	7.0
ptg000026l	9101	9102	1.0	0.0	4.0	0.0
ptg000026l	9201	9202	4.0	6.0	3.0	5.0
ptg000026l	9301	9302	5.0	7.0	5.0	3.0
ptg000026l	9401	9402	1.0	5.0	6.0	6.0
ptg000026l	9501	9502	2.0	7.0	2.0	9.0
ptg000026l	9601	9602	5.0	8.0	8.0	8.0
ptg000026l	9701	9702	14.0	22.0	10.0	10.0
ptg000026l	9801	9802	12.0	24.0	19.0	25.0
ptg000026l	9901	9902	5.0	11.0	10.0	12.0
ptg000026l	10001	10002	1.0	2.0	0.0	0.0
ptg000026l	10101	10102	3.0	5.0	5.0	7.0
ptg000026l	10201	10202	1.0	0.0	0.0	2.0
ptg000026l	10301	10302	3.0	6.0	4.0	6.0
ptg000026l	10401	10402	3.0	6.0	6.0	6.0
ptg000026l	10501	10502	3.0	1.0	3.0	1.0
ptg000026l	10601	10602	0.0	0.0	0.0	0.0
ptg000026l	10701	10702	1.0	4.0	3.0	0.0
ptg000026l	10801	10802	0.0	0.0	0.0	0.0
ptg000026l	10901	10902	8.0	9.0	10.0	14.0
ptg000026l	11001	11002	3.0	8.0	6.0	12.0
ptg000026l	11101	11102	0.0	7.0	5.0	5.0
ptg000026l	11201	11202	0.0	3.0	4.0	0.0
ptg000026l	11301	11302	0.0	0.0	0.0	0.0
