#plotCoverage --outRawCounts
#'chr'	'start'	'end'	'S1.dedup.bam'	'S2.dedup.bam'	'S3.dedup.bam'	'S4.dedup.bam'
ptg000035c	1	2	0.0	2.0	0.0	0.0
ptg000035c	101	102	16.0	4.0	14.0	2.0
ptg000035c	201	202	22.0	3.0	20.0	4.0
ptg000035c	301	302	18.0	11.0	18.0	3.0
ptg000035c	401	402	33.0	4.0	21.0	3.0
ptg000035c	501	502	15.0	12.0	25.0	12.0
ptg000035c	601	602	14.0	6.0	14.0	8.0
ptg000035c	701	702	11.0	4.0	18.0	7.0
ptg000035c	801	802	1.0	0.0	7.0	1.0
ptg000035c	901	902	0.0	0.0	0.0	0.0
ptg000035c	1001	1002	13.0	13.0	8.0	25.0
ptg000035c	1101	1102	33.0	31.0	34.0	51.0
ptg000035c	1201	1202	31.0	32.0	28.0	37.0
ptg000035c	1301	1302	17.0	12.0	10.0	18.0
ptg000035c	1401	1402	1.0	1.0	0.0	0.0
ptg000035c	1501	1502	0.0	2.0	0.0	1.0
ptg000035c	1601	1602	4.0	5.0	8.0	6.0
ptg000035c	1701	1702	0.0	0.0	0.0	0.0
ptg000035c	1801	1802	0.0	0.0	0.0	2.0
ptg000035c	1901	1902	0.0	0.0	1.0	3.0
ptg000035c	2001	2002	23.0	29.0	30.0	33.0
ptg000035c	2101	2102	76.0	88.0	100.0	75.0
ptg000035c	2201	2202	44.0	40.0	42.0	34.0
ptg000035c	2301	2302	53.0	47.0	54.0	43.0
ptg000035c	2401	2402	108.0	81.0	113.0	62.0
ptg000035c	2501	2502	85.0	87.0	94.0	56.0
ptg000035c	2601	2602	0.0	0.0	0.0	0.0
ptg000035c	2701	2702	4.0	13.0	7.0	17.0
ptg000035c	2801	2802	2.0	5.0	1.0	8.0
ptg000035c	2901	2902	2.0	5.0	0.0	17.0
ptg000035c	3001	3002	2.0	9.0	2.0	16.0
ptg000035c	3101	3102	3.0	12.0	6.0	11.0
ptg000035c	3201	3202	4.0	12.0	2.0	12.0
ptg000035c	3301	3302	5.0	16.0	3.0	18.0
ptg000035c	3401	3402	7.0	21.0	6.0	23.0
ptg000035c	3501	3502	8.0	23.0	4.0	13.0
ptg000035c	3601	3602	5.0	24.0	5.0	10.0
ptg000035c	3701	3702	6.0	23.0	13.0	16.0
ptg000035c	3801	3802	18.0	30.0	19.0	20.0
ptg000035c	3901	3902	29.0	23.0	22.0	30.0
ptg000035c	4001	4002	20.0	20.0	14.0	22.0
ptg000035c	4101	4102	8.0	12.0	4.0	13.0
ptg000035c	4201	4202	2.0	14.0	6.0	10.0
ptg000035c	4301	4302	46.0	42.0	56.0	51.0
ptg000035c	4401	4402	24.0	31.0	25.0	27.0
ptg000035c	4501	4502	14.0	18.0	18.0	43.0
ptg000035c	4601	4602	22.0	24.0	30.0	37.0
ptg000035c	4701	4702	19.0	26.0	20.0	23.0
ptg000035c	4801	4802	17.0	17.0	14.0	18.0
ptg000035c	4901	4902	8.0	14.0	9.0	12.0
ptg000035c	5001	5002	1.0	0.0	1.0	0.0
ptg000035c	5101	5102	13.0	10.0	12.0	7.0
ptg000035c	5201	5202	15.0	16.0	16.0	21.0
ptg000035c	5301	5302	23.0	10.0	21.0	11.0
ptg000035c	5401	5402	17.0	7.0	11.0	8.0
ptg000035c	5501	5502	6.0	1.0	4.0	2.0
ptg000035c	5601	5602	7.0	2.0	5.0	2.0
ptg000035c	5701	5702	4.0	0.0	0.0	0.0
ptg000035c	5801	5802	6.0	6.0	10.0	9.0
ptg000035c	5901	5902	9.0	9.0	14.0	14.0
ptg000035c	6001	6002	8.0	18.0	17.0	16.0
ptg000035c	6101	6102	16.0	29.0	25.0	35.0
ptg000035c	6201	6202	62.0	78.0	70.0	72.0
ptg000035c	6301	6302	62.0	75.0	65.0	54.0
ptg000035c	6401	6402	18.0	13.0	24.0	16.0
ptg000035c	6501	6502	0.0	1.0	0.0	0.0
ptg000035c	6601	6602	3.0	8.0	9.0	5.0
ptg000035c	6701	6702	10.0	19.0	14.0	11.0
ptg000035c	6801	6802	16.0	14.0	10.0	10.0
ptg000035c	6901	6902	18.0	16.0	20.0	16.0
ptg000035c	7001	7002	0.0	2.0	0.0	0.0
ptg000035c	7101	7102	10.0	6.0	13.0	12.0
ptg000035c	7201	7202	0.0	0.0	0.0	0.0
ptg000035c	7301	7302	1.0	0.0	0.0	1.0
ptg000035c	7401	7402	20.0	18.0	21.0	9.0
ptg000035c	7501	7502	12.0	10.0	6.0	5.0
ptg000035c	7601	7602	16.0	16.0	16.0	15.0
ptg000035c	7701	7702	21.0	24.0	20.0	21.0
ptg000035c	7801	7802	22.0	25.0	18.0	20.0
ptg000035c	7901	7902	22.0	23.0	21.0	26.0
ptg000035c	8001	8002	21.0	25.0	28.0	18.0
ptg000035c	8101	8102	20.0	27.0	36.0	16.0
ptg000035c	8201	8202	17.0	9.0	20.0	21.0
ptg000035c	8301	8302	0.0	0.0	0.0	0.0
ptg000035c	8401	8402	10.0	5.0	6.0	2.0
ptg000035c	8501	8502	15.0	6.0	14.0	10.0
ptg000035c	8601	8602	12.0	7.0	16.0	8.0
ptg000035c	8701	8702	10.0	7.0	14.0	4.0
ptg000035c	8801	8802	19.0	11.0	29.0	14.0
ptg000035c	8901	8902	21.0	8.0	30.0	12.0
ptg000035c	9001	9002	19.0	14.0	21.0	16.0
ptg000035c	9101	9102	17.0	25.0	23.0	22.0
ptg000035c	9201	9202	23.0	20.0	27.0	23.0
ptg000035c	9301	9302	29.0	30.0	22.0	30.0
ptg000035c	9401	9402	25.0	25.0	27.0	25.0
ptg000035c	9501	9502	20.0	13.0	15.0	24.0
ptg000035c	9601	9602	16.0	16.0	14.0	23.0
ptg000035c	9701	9702	17.0	13.0	20.0	16.0
ptg000035c	9801	9802	20.0	17.0	20.0	18.0
ptg000035c	9901	9902	19.0	20.0	21.0	22.0
ptg000035c	10001	10002	27.0	24.0	21.0	26.0
ptg000035c	10101	10102	34.0	31.0	28.0	27.0
ptg000035c	10201	10202	23.0	27.0	20.0	20.0
ptg000035c	10301	10302	23.0	16.0	15.0	22.0
ptg000035c	10401	10402	15.0	16.0	10.0	20.0
ptg000035c	10501	10502	8.0	10.0	10.0	16.0
ptg000035c	10601	10602	12.0	20.0	15.0	20.0
ptg000035c	10701	10702	11.0	16.0	16.0	20.0
ptg000035c	10801	10802	6.0	10.0	12.0	12.0
ptg000035c	10901	10902	5.0	8.0	9.0	9.0
ptg000035c	11001	11002	8.0	8.0	11.0	14.0
ptg000035c	11101	11102	14.0	17.0	21.0	13.0
ptg000035c	11201	11202	13.0	7.0	7.0	5.0
ptg000035c	11301	11302	15.0	8.0	16.0	10.0
ptg000035c	11401	11402	26.0	24.0	31.0	25.0
ptg000035c	11501	11502	16.0	23.0	33.0	26.0
ptg000035c	11601	11602	18.0	17.0	24.0	18.0
ptg000035c	11701	11702	9.0	19.0	16.0	11.0
ptg000035c	11801	11802	12.0	7.0	12.0	14.0
ptg000035c	11901	11902	18.0	14.0	20.0	15.0
ptg000035c	12001	12002	5.0	14.0	16.0	18.0
ptg000035c	12101	12102	14.0	9.0	9.0	25.0
ptg000035c	12201	12202	16.0	13.0	14.0	20.0
ptg000035c	12301	12302	6.0	19.0	7.0	27.0
ptg000035c	12401	12402	10.0	22.0	15.0	26.0
ptg000035c	12501	12502	22.0	15.0	29.0	21.0
ptg000035c	12601	12602	10.0	10.0	9.0	10.0
ptg000035c	12701	12702	14.0	16.0	15.0	14.0
ptg000035c	12801	12802	9.0	9.0	16.0	17.0
ptg000035c	12901	12902	2.0	7.0	4.0	20.0
ptg000035c	13001	13002	2.0	7.0	5.0	26.0
ptg000035c	13101	13102	3.0	8.0	8.0	20.0
ptg000035c	13201	13202	5.0	8.0	9.0	19.0
ptg000035c	13301	13302	5.0	8.0	5.0	27.0
ptg000035c	13401	13402	4.0	10.0	3.0	13.0
ptg000035c	13501	13502	2.0	10.0	1.0	27.0
ptg000035c	13601	13602	0.0	8.0	0.0	16.0
ptg000035c	13701	13702	0.0	10.0	2.0	8.0
ptg000035c	13801	13802	4.0	14.0	8.0	16.0
ptg000035c	13901	13902	2.0	10.0	1.0	22.0
ptg000035c	14001	14002	12.0	21.0	11.0	29.0
ptg000035c	14101	14102	29.0	34.0	38.0	51.0
ptg000035c	14201	14202	38.0	47.0	24.0	37.0
ptg000035c	14301	14302	37.0	44.0	23.0	46.0
ptg000035c	14401	14402	25.0	48.0	33.0	43.0
ptg000035c	14501	14502	31.0	42.0	31.0	29.0
ptg000035c	14601	14602	38.0	43.0	26.0	33.0
ptg000035c	14701	14702	26.0	37.0	32.0	35.0
ptg000035c	14801	14802	28.0	32.0	30.0	35.0
ptg000035c	14901	14902	26.0	14.0	43.0	18.0
ptg000035c	15001	15002	27.0	26.0	40.0	34.0
ptg000035c	15101	15102	33.0	35.0	36.0	29.0
ptg000035c	15201	15202	36.0	40.0	26.0	27.0
ptg000035c	15301	15302	47.0	33.0	38.0	37.0
ptg000035c	15401	15402	37.0	19.0	34.0	45.0
ptg000035c	15501	15502	31.0	23.0	22.0	27.0
ptg000035c	15601	15602	15.0	37.0	16.0	31.0
ptg000035c	15701	15702	2.0	15.0	6.0	30.0
ptg000035c	15801	15802	4.0	12.0	5.0	29.0
ptg000035c	15901	15902	12.0	28.0	23.0	28.0
ptg000035c	16001	16002	13.0	26.0	25.0	27.0
ptg000035c	16101	16102	16.0	21.0	17.0	26.0
ptg000035c	16201	16202	21.0	28.0	15.0	17.0
ptg000035c	16301	16302	18.0	40.0	22.0	35.0
ptg000035c	16401	16402	27.0	29.0	25.0	42.0
ptg000035c	16501	16502	25.0	59.0	29.0	51.0
ptg000035c	16601	16602	29.0	54.0	28.0	77.0
ptg000035c	16701	16702	19.0	50.0	32.0	58.0
ptg000035c	16801	16802	29.0	40.0	32.0	37.0
ptg000035c	16901	16902	18.0	30.0	28.0	27.0
ptg000035c	17001	17002	13.0	27.0	6.0	19.0
ptg000035c	17101	17102	21.0	22.0	16.0	14.0
ptg000035c	17201	17202	18.0	16.0	12.0	12.0
ptg000035c	17301	17302	7.0	6.0	5.0	3.0
ptg000035c	17401	17402	2.0	13.0	4.0	11.0
ptg000035c	17501	17502	5.0	13.0	11.0	12.0
ptg000035c	17601	17602	4.0	18.0	15.0	17.0
ptg000035c	17701	17702	0.0	2.0	0.0	0.0
ptg000035c	17801	17802	0.0	0.0	0.0	0.0
ptg000035c	17901	17902	0.0	0.0	0.0	0.0
ptg000035c	18001	18002	0.0	4.0	1.0	3.0
ptg000035c	18101	18102	1.0	7.0	0.0	7.0
ptg000035c	18201	18202	0.0	9.0	3.0	15.0
ptg000035c	18301	18302	0.0	20.0	4.0	22.0
ptg000035c	18401	18402	3.0	15.0	6.0	28.0
ptg000035c	18501	18502	2.0	15.0	10.0	26.0
ptg000035c	18601	18602	2.0	21.0	12.0	14.0
ptg000035c	18701	18702	5.0	31.0	10.0	22.0
ptg000035c	18801	18802	5.0	27.0	4.0	24.0
ptg000035c	18901	18902	2.0	23.0	6.0	25.0
ptg000035c	19001	19002	1.0	22.0	3.0	20.0
ptg000035c	19101	19102	0.0	0.0	1.0	2.0
ptg000035c	19201	19202	3.0	19.0	7.0	32.0
ptg000035c	19301	19302	8.0	21.0	7.0	28.0
ptg000035c	19401	19402	0.0	32.0	6.0	23.0
ptg000035c	19501	19502	6.0	25.0	7.0	17.0
ptg000035c	19601	19602	7.0	26.0	3.0	22.0
ptg000035c	19701	19702	12.0	28.0	1.0	21.0
ptg000035c	19801	19802	11.0	13.0	6.0	21.0
ptg000035c	19901	19902	0.0	0.0	0.0	0.0
ptg000035c	20001	20002	2.0	19.0	5.0	12.0
ptg000035c	20101	20102	14.0	16.0	13.0	6.0
ptg000035c	20201	20202	21.0	11.0	24.0	1.0
ptg000035c	20301	20302	14.0	7.0	28.0	2.0
ptg000035c	20401	20402	15.0	6.0	21.0	4.0
ptg000035c	20501	20502	18.0	11.0	20.0	2.0
ptg000035c	20601	20602	18.0	12.0	25.0	2.0
ptg000035c	20701	20702	23.0	14.0	24.0	1.0
ptg000035c	20801	20802	16.0	10.0	10.0	1.0
ptg000035c	20901	20902	8.0	2.0	5.0	0.0
ptg000035c	21001	21002	17.0	9.0	12.0	6.0
ptg000035c	21101	21102	7.0	2.0	7.0	0.0
ptg000035c	21201	21202	0.0	1.0	0.0	3.0
ptg000035c	21301	21302	4.0	2.0	4.0	5.0
ptg000035c	21401	21402	3.0	1.0	1.0	1.0
ptg000035c	21501	21502	1.0	1.0	0.0	1.0
ptg000035c	21601	21602	0.0	0.0	0.0	2.0
ptg000035c	21701	21702	1.0	0.0	4.0	0.0
ptg000035c	21801	21802	6.0	1.0	2.0	0.0
ptg000035c	21901	21902	9.0	0.0	4.0	1.0
ptg000035c	22001	22002	10.0	1.0	9.0	4.0
ptg000035c	22101	22102	0.0	0.0	0.0	0.0
ptg000035c	22201	22202	21.0	5.0	13.0	2.0
ptg000035c	22301	22302	17.0	4.0	14.0	2.0
ptg000035c	22401	22402	6.0	1.0	7.0	0.0
ptg000035c	22501	22502	12.0	8.0	12.0	3.0
ptg000035c	22601	22602	10.0	1.0	7.0	1.0
ptg000035c	22701	22702	1.0	1.0	4.0	4.0
ptg000035c	22801	22802	1.0	1.0	4.0	2.0
ptg000035c	22901	22902	0.0	1.0	2.0	0.0
ptg000035c	23001	23002	7.0	4.0	12.0	2.0
ptg000035c	23101	23102	26.0	8.0	25.0	1.0
ptg000035c	23201	23202	28.0	11.0	24.0	4.0
ptg000035c	23301	23302	23.0	4.0	19.0	3.0
ptg000035c	23401	23402	20.0	4.0	8.0	2.0
ptg000035c	23501	23502	16.0	3.0	8.0	2.0
ptg000035c	23601	23602	1.0	0.0	0.0	0.0
ptg000035c	23701	23702	0.0	0.0	0.0	0.0
ptg000035c	23801	23802	0.0	0.0	1.0	2.0
ptg000035c	23901	23902	0.0	0.0	1.0	0.0
ptg000035c	24001	24002	0.0	0.0	0.0	0.0
ptg000035c	24101	24102	0.0	0.0	0.0	0.0
ptg000035c	24201	24202	0.0	0.0	0.0	0.0
ptg000035c	24301	24302	0.0	0.0	3.0	0.0
ptg000035c	24401	24402	2.0	0.0	1.0	0.0
ptg000035c	24501	24502	2.0	0.0	2.0	0.0
ptg000035c	24601	24602	0.0	0.0	0.0	0.0
ptg000035c	24701	24702	8.0	0.0	11.0	1.0
ptg000035c	24801	24802	0.0	0.0	0.0	0.0
ptg000035c	24901	24902	0.0	0.0	0.0	0.0
ptg000035c	25001	25002	3.0	7.0	6.0	1.0
ptg000035c	25101	25102	0.0	0.0	0.0	0.0
ptg000035c	25201	25202	0.0	0.0	0.0	0.0
ptg000035c	25301	25302	0.0	0.0	0.0	0.0
ptg000035c	25401	25402	0.0	0.0	0.0	0.0
ptg000035c	25501	25502	0.0	0.0	0.0	0.0
ptg000035c	25601	25602	0.0	0.0	0.0	0.0
ptg000035c	25701	25702	0.0	0.0	0.0	0.0
ptg000035c	25801	25802	0.0	0.0	0.0	0.0
ptg000035c	25901	25902	0.0	0.0	0.0	0.0
ptg000035c	26001	26002	0.0	0.0	0.0	0.0
ptg000035c	26101	26102	0.0	0.0	0.0	0.0
ptg000035c	26201	26202	0.0	0.0	0.0	0.0
ptg000035c	26301	26302	1.0	0.0	0.0	0.0
ptg000035c	26401	26402	0.0	0.0	0.0	0.0
ptg000035c	26501	26502	0.0	0.0	0.0	0.0
ptg000035c	26601	26602	0.0	0.0	0.0	0.0
ptg000035c	26701	26702	0.0	0.0	0.0	0.0
ptg000035c	26801	26802	39.0	43.0	60.0	44.0
ptg000035c	26901	26902	10.0	23.0	15.0	14.0
ptg000035c	27001	27002	40.0	42.0	41.0	47.0
ptg000035c	27101	27102	84.0	83.0	67.0	80.0
ptg000035c	27201	27202	104.0	78.0	89.0	79.0
ptg000035c	27301	27302	113.0	72.0	95.0	72.0
ptg000035c	27401	27402	52.0	26.0	36.0	30.0
ptg000035c	27501	27502	51.0	26.0	28.0	28.0
ptg000035c	27601	27602	61.0	28.0	57.0	38.0
ptg000035c	27701	27702	24.0	10.0	24.0	16.0
ptg000035c	27801	27802	5.0	2.0	6.0	1.0
ptg000035c	27901	27902	5.0	2.0	6.0	1.0
ptg000035c	28001	28002	20.0	28.0	21.0	9.0
ptg000035c	28101	28102	0.0	0.0	0.0	0.0
ptg000035c	28201	28202	0.0	0.0	0.0	0.0
ptg000035c	28301	28302	0.0	0.0	0.0	0.0
ptg000035c	28401	28402	0.0	0.0	0.0	0.0
ptg000035c	28501	28502	0.0	0.0	0.0	0.0
ptg000035c	28601	28602	0.0	0.0	0.0	0.0
ptg000035c	28701	28702	2.0	1.0	2.0	1.0
ptg000035c	28801	28802	18.0	4.0	20.0	2.0
ptg000035c	28901	28902	19.0	7.0	18.0	12.0
ptg000035c	29001	29002	24.0	14.0	28.0	8.0
ptg000035c	29101	29102	34.0	22.0	40.0	12.0
