# BUSCO version is: 5.4.7 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
Busco_id	Status	Sequence	Gene_Start	Gene_End	Strand	Score	Length	OrthoDB_url	Description
0at7088	Complete	ptg000008l	5080488	5190502	+	17379.8	8918	https://v10-1.orthodb.org/?query=0at7088	Immunoglobulin
1at7088	Complete	ptg000054l	1175659	1050645	-	9463.9	5833	https://v10-1.orthodb.org/?query=1at7088	Immunoglobulin
2at7088	Complete	ptg000015l	7536885	7639464	+	24749.7	15990	https://v10-1.orthodb.org/?query=2at7088	EGF-like calcium-binding domain
3at7088	Complete	ptg000010l	4354372	4462748	+	10656.6	6851	https://v10-1.orthodb.org/?query=3at7088	Spectrin repeat
4at7088	Complete	ptg000002l	20047903	20168763	+	13679.0	7659	https://v10-1.orthodb.org/?query=4at7088	Spectrin repeat
6at7088	Complete	ptg000010l	10480509	10579743	+	8397.4	4387	https://v10-1.orthodb.org/?query=6at7088	Cadherin-like
11at7088	Duplicated	ptg000060l	4418321	4524412	+	8137.4	4188	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
11at7088	Duplicated	ptg000082l	479588	581869	+	8130.4	4127	https://v10-1.orthodb.org/?query=11at7088	Dynein heavy chain AAA lid domain
13at7088	Complete	ptg000057l	12256721	12225003	-	8099.1	3954	https://v10-1.orthodb.org/?query=13at7088	Dynein heavy chain AAA lid domain
18at7088	Complete	ptg000011l	22142974	22179555	+	7851.1	4539	https://v10-1.orthodb.org/?query=18at7088	Midasin AAA lid domain 5
20at7088	Complete	ptg000017l	11572691	11542563	-	7014.5	3241	https://v10-1.orthodb.org/?query=20at7088	EGF-like calcium-binding domain
25at7088	Complete	ptg000006l	9482278	9469840	-	7193.8	3496	https://v10-1.orthodb.org/?query=25at7088	Dynein heavy chain AAA lid domain
26at7088	Complete	ptg000006l	10263232	10203442	-	7100.5	3478	https://v10-1.orthodb.org/?query=26at7088	Dynein heavy chain AAA lid domain
27at7088	Complete	ptg000054l	6829358	6781445	-	7028.6	3569	https://v10-1.orthodb.org/?query=27at7088	Dynein heavy chain AAA lid domain
28at7088	Complete	ptg000006l	11339821	11387914	+	7601.9	4359	https://v10-1.orthodb.org/?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	ptg000008l	2982184	3019354	+	6722.7	3884	https://v10-1.orthodb.org/?query=31at7088	Ankyrin repeat
33at7088	Complete	ptg000006l	4995644	5029232	+	6159.0	3103	https://v10-1.orthodb.org/?query=33at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
34at7088	Complete	ptg000006l	13874830	13911858	+	6766.0	3540	https://v10-1.orthodb.org/?query=34at7088	Fragile site-associated protein, C-terminal
36at7088	Complete	ptg000026l	2529277	2547899	+	6702.1	3780	https://v10-1.orthodb.org/?query=36at7088	FY-rich, C-terminal
37at7088	Complete	ptg000054l	15790961	15761634	-	4783.7	2584	https://v10-1.orthodb.org/?query=37at7088	Laminin G domain
38at7088	Complete	ptg000008l	644350	689195	+	4167.9	2749	https://v10-1.orthodb.org/?query=38at7088	Lipid transport, open beta-sheet
41at7088	Complete	ptg000010l	9566963	9532563	-	6083.7	3020	https://v10-1.orthodb.org/?query=41at7088	BEACH domain
43at7088	Complete	ptg000017l	8772139	8729774	-	7564.2	4056	https://v10-1.orthodb.org/?query=43at7088	FY-rich, C-terminal
46at7088	Complete	ptg000010l	14002343	13954631	-	5179.2	2567	https://v10-1.orthodb.org/?query=46at7088	SRCR domain
